skill,current_level,next_level,max_level,valid,sim_attack,sim_crit_eye,sim_wex,sim_crit_boost,sim_agitator,sim_peak,sim_resentment,sim_focus,sim_ele_boost,sim_latent_power,sim_max_might,sim_sheathe,ATK_eff_new,CR_eff_new,CR_eff_capped_new,CD_new,ECM_new,frames_eff_new,ELE_eff_new,D_phys_new,D_ele_new,D_total_new,DPS_new,gain,label,,rank,label,new_DPS,gain,reason,,,,,,check_item,result
攻击,3,4,7,TRUE,4,2,1,1,3,1,0,0,0,0,0,0,429.5,-0.0375,-0.0375,1.3,0.990625,298,180,1539.93201,25.65,1565.58201,157.6089272,0.019570968,攻击 3→4,,1,攻击 3→4,157.6089272,1.96%,提升基础攻击力，收益受当前 ATK 与会心期望共同影响,,,,,,当前 DPS,154.5835769
看破,2,3,7,TRUE,3,3,1,1,3,1,0,0,0,0,0,0,426.5,-0.0375,-0.0375,1.3,0.990625,298,180,1529.175791,25.65,1554.825791,156.5260864,0.012566079,看破 2→3,,2,看破 2→3,156.5260864,1.26%,提升会心率，当前未满会心时收益稳定,,,,,,当前 ATK_eff,426.5
弱点特效,1,2,3,TRUE,3,2,2,1,3,1,0,0,0,0,0,0,426.5,-0.0575,-0.0575,1.3,0.985625,298,180,1521.457554,25.65,1547.107554,155.7490826,0.007539647,弱点特效 1→2,,3,集中 0→1,156.1556133,1.02%,减少蓄力帧，不改变单次伤害但提升循环 DPS,,,,,,当前 CR_eff,-0.0875
超会心,1,2,3,TRUE,3,2,1,2,3,1,0,0,0,0,0,0,426.5,-0.0875,-0.0875,1.35,0.978125,298,180,1509.880198,25.65,1535.530198,154.5835769,0,超会心 1→2,,4,弱点特效 1→2,155.7490826,0.75%,在满足弱点肉质且有覆盖率时提供高额会心收益,,,,,,当前 ECM,0.978125
挑战者,3,4,7,TRUE,3,2,1,1,4,1,0,0,0,0,0,0,429.5,-0.0875,-0.0875,1.3,0.978125,298,180,1520.500691,25.65,1546.150691,155.6527542,0.006916499,挑战者 3→4,,5,挑战者 3→4,155.6527542,0.69%,按愤怒覆盖率同时提升攻击力与会心率,,,,,,当前 frames_eff,298
无伤,1,2,3,TRUE,3,2,1,1,3,2,0,0,0,0,0,0,429,-0.0875,-0.0875,1.3,0.978125,298,180,1518.730609,25.65,1544.380609,155.474558,0.00576375,无伤 1→2,,6,无伤 1→2,155.474558,0.58%,,,,,,,第一推荐,攻击 3→4
怨恨,0,1,5,TRUE,3,2,1,1,3,1,1,0,0,0,0,0,426.75,-0.0875,-0.0875,1.3,0.978125,298,180,1510.765239,25.65,1536.415239,154.672675,0.000576375,怨恨 0→1,,7,纳刀术 0→1,155.1040604,0.34%,,,,,,,第一收益率,0.019570968
集中,0,1,3,TRUE,3,2,1,1,3,1,0,1,0,0,0,0,426.5,-0.0875,-0.0875,1.3,0.978125,295,180,1509.880198,25.65,1535.530198,156.1556133,0.010169492,集中 0→1,,8,属性强化 0→1,155.0139461,0.28%,,,,,,,,
纳刀术,0,1,3,TRUE,3,2,1,1,3,1,0,0,0,0,0,1,426.5,-0.0875,-0.0875,1.3,0.978125,297,180,1509.880198,25.65,1535.530198,155.1040604,0.003367003,纳刀术 0→1,,9,怨恨 0→1,154.672675,0.06%,,,,,,,,
属性强化,0,1,6,TRUE,3,2,1,1,3,1,0,0,1,0,0,0,426.5,-0.0875,-0.0875,1.3,0.978125,298,210,1509.880198,29.925,1539.805198,155.0139461,0.002784055,属性强化 0→1,,10,超会心 1→2,154.5835769,0.00%,,,,,,,,
