key,skill,level,level_max,coverage_key,include_in_recommend,ATK_plus,ATK_multi,CRT_plus,CD,WEX_raw_CRT,WEX_soft_CRT,focus_reduce_pct,sheathe_reduce_frames,ELE_plus,ELE_multi,status_plus,status_multi,action_multi,sharpness_effect,condition_note
攻击|0,攻击,0,7,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
攻击|1,攻击,1,7,always,TRUE,3,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
攻击|2,攻击,2,7,always,TRUE,6,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
攻击|3,攻击,3,7,always,TRUE,9,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
攻击|4,攻击,4,7,always,TRUE,12,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,L4 起附带会心
攻击|5,攻击,5,7,always,TRUE,15,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,同上
攻击|6,攻击,6,7,always,TRUE,18,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,同上
攻击|7,攻击,7,7,always,TRUE,21,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,同上
看破|0,看破,0,7,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
看破|1,看破,1,7,always,TRUE,0,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|2,看破,2,7,always,TRUE,0,1,10%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|3,看破,3,7,always,TRUE,0,1,15%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|4,看破,4,7,always,TRUE,0,1,20%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|5,看破,5,7,always,TRUE,0,1,25%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|6,看破,6,7,always,TRUE,0,1,30%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
看破|7,看破,7,7,always,TRUE,0,1,40%,1.25,0%,0%,0,0,0,1,0,1,1,0,无条件
超会心|0,超会心,0,3,always,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
超会心|1,超会心,1,3,always,TRUE,0,1,0%,1.3,0%,0%,0,0,0,1,0,1,1,0,会心时物理伤害倍率；基线 CD=1.25
超会心|2,超会心,2,3,always,TRUE,0,1,0%,1.35,0%,0%,0,0,0,1,0,1,1,0,同上
超会心|3,超会心,3,3,always,TRUE,0,1,0%,1.4,0%,0%,0,0,0,1,0,1,1,0,同上
弱点特效|0,弱点特效,0,3,wex,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
弱点特效|1,弱点特效,1,3,wex,TRUE,0,1,0%,1.25,10%,15%,0,0,0,1,0,1,1,0,有效部位 +10%；受伤再 +5%
弱点特效|2,弱点特效,2,3,wex,TRUE,0,1,0%,1.25,15%,30%,0,0,0,1,0,1,1,0,有效部位 +15%；受伤再 +15%
弱点特效|3,弱点特效,3,3,wex,TRUE,0,1,0%,1.25,30%,50%,0,0,0,1,0,1,1,0,有效部位 +30%；受伤再 +20%
挑战者|0,挑战者,0,7,agitator,TRUE,0,1,0%,1.25,0%,0%,0,0,0,1,0,1,1,0,
挑战者|1,挑战者,1,7,agitator,TRUE,4,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
挑战者|2,挑战者,2,7,agitator,TRUE,8,1,5%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
挑战者|3,挑战者,3,7,agitator,TRUE,12,1,7%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
挑战者|4,挑战者,4,7,agitator,TRUE,16,1,7%,1.25,0%,0%,0,0,0,1,0,1,1,0,怪物愤怒时
